asset,period,MSE_rIg,RMSE_rIg,MAE_rIg,max_abs_rIg,p_small_2,p_small_5,n_obs
C,1900_1949,NA,NA,NA,-Inf,NA,NA,0
C,1950_1994,5.746144248233495e-33,7.580332610270802e-17,5.746995280383972e-17,1.8069160494030592e-16,1,1,44
C,1995_plus,NA,NA,NA,-Inf,NA,NA,0
ME,1900_1949,5.111126164857448e-33,7.149214058102785e-17,5.76180307792891e-17,1.5835046944398474e-16,1,1,49
ME,1950_1994,3.9759638706572875e-33,6.305524459279567e-17,4.8336726439553745e-17,1.232390372076971e-16,1,1,45
ME,1995_plus,3.282117077389919e-33,5.728976415896577e-17,4.944994308832216e-17,1.0317771130064205e-16,1,1,14
NR,1900_1949,5.0275607546341445e-33,7.090529426378643e-17,5.368278458951703e-17,1.8067711983193702e-16,1,1,49
NR,1950_1994,5.133854500772152e-33,7.165092114391937e-17,5.891454126335371e-17,1.8305392269329222e-16,1,1,45
NR,1995_plus,2.6891349838521473e-33,5.185687017023055e-17,4.378803734457353e-17,9.960194757236033e-17,1,1,14
NRC,1900_1949,4.187685067272462e-33,6.471232546642457e-17,5.346109216478818e-17,1.6042492886558947e-16,1,1,49
NRC,1950_1994,3.9817171186488436e-33,6.310084879499517e-17,5.281489299669148e-17,1.5207847537549114e-16,1,1,45
NRC,1995_plus,2.0024901300881154e-33,4.4749191390326994e-17,3.6797438519399835e-17,8.052369765750499e-17,1,1,14
RC,1900_1949,NA,NA,NA,-Inf,NA,NA,0
RC,1950_1994,2.448177303107095e-33,4.947905923829893e-17,4.2857111602408625e-17,9.9727970473748e-17,1,1,44
RC,1995_plus,NA,NA,NA,-Inf,NA,NA,0
T,1900_1949,NA,NA,NA,-Inf,NA,NA,0
T,1950_1994,4.220466206984052e-33,6.496511530801782e-17,5.265908365719239e-17,1.8407844200077772e-16,1,1,44
T,1995_plus,NA,NA,NA,-Inf,NA,NA,0
